Product Code,Product Name,Product Price,Product Brand,Product Availability,Product Link
QX4382NB,"1981 Rooftop Deliveries, Here Comes Santa #3 - No Box",$59.95,Hallmark,Out of Stock.,https://www.hallmarkornaments.com/1981-Rooftop-Deliveries-Here-Comes-Santa-3--No-Box_p_15127.html
QX4395,1981 Sailing Santa,$53.95,Hallmark,Out of Stock.,https://www.hallmarkornaments.com/1981-Sailing-Santa_p_16238.html
QX4395NT,1981 Sailing Santa NT,$49.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1981-Sailing-Santa-NT_p_25563.html
QX8122,1981 Santa's Coming - Glass Ball,$19.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1981-Santas-Coming--Glass-Ball_p_25553.html
QX8155,1981 Santa's Surprise,$14.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1981-Santas-Surprise_p_16239.html
QX8155DB,1981 Santa's Surprise DB,$12.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1981-Santas-Surprise-DB_p_27465.html
QX4275,"1981 Skaters Carousel, Carousel #4",$42.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1981-Skaters-Carousel-Carousel-4_p_16180.html
QX4455,1981 Snowman Chimes,$21.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1981-Snowman-Chimes_p_16243.html
QX4302,1981 Space Santa,$36.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1981-Space-Santa-_p_26931.html
QX4302NT,1981 Space Santa NT,$33.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1981-Space-Santa-NT_p_16245.html
QX4462,1981 St. Nicholas,$28.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1981-St-Nicholas_p_16248.html
QX4215,1981 Star Swing,$16.95,Hallmark,Out of Stock.,https://www.hallmarkornaments.com/1981-Star-Swing_p_16249.html
QX4215DB,1981 Star Swing DB,$13.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1981-Star-Swing-DB_p_25606.html
QX4415,1981 Swingin' Bellringer - Bellringers #3,$40.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1981-Swingin-Bellringer--Bellringers-3_p_16251.html
QX8002,1981 Teacher,$5.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1981-Teacher_p_16250.html
QX5115,"1981 The Carolers, Norman Rockwell #2",$19.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1981-The-Carolers-Norman-Rockwell-2_p_16227.html
QX4342,1981 The Friendly Fiddler,$33.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1981-The-Friendly-Fiddler_p_16252.html
QX4135,1981 Thimble #4,$38.95,Hallmark,Out of Stock.,https://www.hallmarkornaments.com/1981-Thimble-4_p_16256.html
QX4135NB,1981 Thimble #4 NB,$19.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1981-Thimble-4-NB_p_25612.html
QX4295,1981 Topsy Turvy Tunes,$38.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1981-Topsy-Turvy-Tunes_p_16257.html
QX4295DB,1981 Topsy Turvy Tunes DB,$34.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1981-Topsy-Turvy-Tunes-DB_p_25571.html
QX2116,1982 25th Christmas Together,$8.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-25th-Christmas-Together_p_16262.html
QX2123,1982 50th Christmas Together,$6.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-50th-Christmas-Together_p_16263.html
QX3003,1982 Arctic Penguin,$11.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-Arctic-Penguin_p_16266.html
QX4553,1982 Baby's First Christmas,$49.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-Babys-First-Christmas_p_16267.html
QX4553DB,1982 Baby's First Christmas DB,$44.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-Babys-First-Christmas-DB_p_27599.html
QX3056,1982 Betsey Clark,$18.95,Hallmark,Out of Stock.,https://www.hallmarkornaments.com/1982-Betsey-Clark_p_16275.html
QX4583,1982 Clothespin Soldier #1 - British,$28.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-Clothespin-Soldier-1--British_p_16288.html
QX4806,1982 Cowboy Snowman,$21.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-Cowboy-Snowman_p_16290.html
QX4355,1982 Cycling Santa,$39.95,Hallmark,Out of Stock.,https://www.hallmarkornaments.com/1982-Cycling-Santa_p_16292.html
QX4355DB,1982 Cycling Santa DB,$29.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-Cycling-Santa-DB_p_25508.html
QX2173,"1982 Disney, The Seven Dwarfs",$39.95,Hallmark,Out of Stock.,https://www.hallmarkornaments.com/1982-Disney-The-Seven-Dwarfs_p_16294.html
QX2173DB,"1982 Disney, The Seven Dwarfs - DB",$34.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-Disney-The-Seven-Dwarfs--DB_p_25478.html
QX4573,1982 Elfin Artist,$27.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-Elfin-Artist_p_16298.html
QX2056B,1982 Father,$11.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-Father_p_16300.html
QX3053,"1982 Filling the Stockings, Norman Rockwell #3",$18.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-Filling-the-Stockings-Norman-Rockwell-3_p_16343.html
QX4563,1982 First Christmas Together - Locket,$0.00,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-First-Christmas-Together--Locket_p_16305.html
QX2086,1982 Friendship,$9.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-Friendship_p_16306.html
QX4523,1982 Frosty Friends #3,$189.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-Frosty-Friends-3_p_13584.html
QX2076B,1982 Grandfather,$13.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-Grandfather_p_16310.html
QX2003B,1982 Grandmother,$13.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-Grandmother_p_16311.html
QX2146,1982 Grandparents,$8.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-Grandparents_p_16312.html
QX2246,1982 Grandson,$26.95,Hallmark,Out of Stock.,https://www.hallmarkornaments.com/1982-Grandson_p_16313.html
QX4776,1982 Jingling Teddy,$14.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-Jingling-Teddy_p_16316.html
QX2193,1982 Joan Walsh Anglund,$14.95,Hallmark,Out of Stock.,https://www.hallmarkornaments.com/1982-Joan-Walsh-Anglund_p_16317.html
QX2193DB,1982 Joan Walsh Anglund - DB,$12.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-Joan-Walsh-Anglund--DB_p_25479.html
QX4653,1982 Jolly Christmas Tree,$33.95,Hallmark,Out of Stock.,https://www.hallmarkornaments.com/1982-Jolly-Christmas-Tree_p_16319.html
QX4643,"1982 Jolly Trolley, Here Comes Santa #4",$45.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-Jolly-Trolley-Here-Comes-Santa-4_p_15129.html
QX4643SDB,"1982 Jolly Trolley, Here Comes Santa #4 - SDB",$77.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-Jolly-Trolley-Here-Comes-Santa-4--SDB_p_15130.html
QX4956,1982 Kermit The Frog,$58.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-Kermit-The-Frog_p_16321.html
QX2096,1982 Love,$12.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-Love_p_16325.html
QX2096DB,1982 Love DB,$10.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-Love-DB_p_27416.html
QX2256,1982 Merry Christmas,$17.95,Hallmark,Out of Stock.,https://www.hallmarkornaments.com/1982-Merry-Christmas_p_16329.html
QX4155,1982 Merry Moose,$29.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-Merry-Moose_p_16330.html
QX2183,"1982 Miss Piggy And Kermit, Muppets",$39.95,Hallmark,Out of Stock.,https://www.hallmarkornaments.com/1982-Miss-Piggy-And-Kermit-Muppets_p_16333.html
QX2093,1982 Moments Of Love,$18.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-Moments-Of-Love_p_16334.html
QX4596,1982 Musical Angel,$36.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-Musical-Angel_p_16339.html
QX2276,1982 Old Fashioned Christmas,$44.95,Hallmark,Out of Stock.,https://www.hallmarkornaments.com/1982-Old-Fashioned-Christmas_p_16344.html
QX2263,1982 Old World Angels,$18.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-Old-World-Angels_p_16345.html
QHD8105,1982 Panda Bear - Stocking Hanger,$23.95,Hallmark,Out of Stock.,https://www.hallmarkornaments.com/1982-Panda-Bear--Stocking-Hanger_p_16346.html
QX2006,1982 Peanuts,$27.95,Hallmark,Out of Stock.,https://www.hallmarkornaments.com/1982-Peanuts_p_16348.html
QX4613,1982 Pinecone Home,$38.95,Hallmark,Out of Stock.,https://www.hallmarkornaments.com/1982-Pinecone-Home_p_16351.html
QX4793,1982 Raccoon Surprises,$34.95,Hallmark,Out of Stock.,https://www.hallmarkornaments.com/1982-Raccoon-Surprises_p_16352.html
QX5023,1982 Rocking Horse #2,$169.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-Rocking-Horse-2_p_12750.html
QX5023NT,1982 Rocking Horse #2 - No Tag,$140.00,Hallmark,Out of Stock.,https://www.hallmarkornaments.com/1982-Rocking-Horse-2--No-Tag_p_25734.html
QX4676,1982 Santa & Reindeer,$28.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-Santa-Reindeer_p_16356.html
QX4786,1982 Santa's Sleigh,$11.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-Santas-Sleigh_p_16359.html
QX4503,1982 Santa's Workshop,$37.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-Santas-Workshop-_p_25562.html
QX4503NT,1982 Santa's Workshop NT,$34.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-Santas-Workshop-NT_p_16360.html
QX2213,1982 Season For Caring,$15.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-Season-For-Caring_p_16361.html
QX4783,"1982 Snowman Carousel, Carousel #5",$47.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-Snowman-Carousel-Carousel-5_p_16280.html
QX4783NT,"1982 Snowman Carousel, Carousel #5 NT",$44.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-Snowman-Carousel-Carousel-5-NT_p_26941.html
QX3006,1982 Snowy Seal,$13.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-Snowy-Seal_p_16365.html
QX2043B,1982 Son,$18.95,Hallmark,Out of Stock.,https://www.hallmarkornaments.com/1982-Son_p_16367.html
QX3123,1982 Teacher,$5.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-Teacher_p_16370.html
QX3016,1982 Teacher - Apple,$7.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-Teacher--Apple_p_16371.html
QX4556,1982 The Bellringers #4 - Angel,$33.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-The-Bellringers-4--Angel_p_16373.html
QX4255,"1982 The Divine Miss Piggy, Muppets",$47.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-The-Divine-Miss-Piggy-Muppets_p_16374.html
QX4526,1982 The Spirit Of Christmas,$33.95,Hallmark,Out of Stock.,https://www.hallmarkornaments.com/1982-The-Spirit-Of-Christmas_p_16375.html
QX4526NT,1982 The Spirit Of Christmas NT,$29.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-The-Spirit-Of-Christmas-NT_p_25597.html
QX4513,1982 Thimble #5,$19.95,Hallmark,Out of Stock.,https://www.hallmarkornaments.com/1982-Thimble-5_p_15205.html
QX4603,1982 Tin Locomotive #1 - RARE,$230.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1982-Tin-Locomotive-1--RARE_p_16376.html
QX4017,1983 Thimble #6,$18.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1983-Thimble-6_p_16512.html
QX2247,1983 25th Christmas Together,$8.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1983-25th-Christmas-Together_p_16384.html
QX4087,1983 Angel Messenger,$37.95,Hallmark,Out of Stock.,https://www.hallmarkornaments.com/1983-Angel-Messenger_p_16388.html
QX2197,1983 Angels,$13.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1983-Angels_p_16390.html
QX4027,1983 Baby's First Christmas,$47.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1983-Babys-First-Christmas_p_16393.html
QX4027DB,1983 Baby's First Christmas DB,$42.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1983-Babys-First-Christmas-DB_p_27473.html
QX4047,1983 Betsey Clark,$23.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1983-Betsey-Clark_p_16401.html
QX4047,1983 Betsey Clark,$23.95,Hallmark,In Stock.,https://www.hallmarkornaments.com/1983-Betsey-Clark_p_16401.html
